Product ID,Product Name (Korean),Product Name (English),Part Number,Price (KRW),Price (EUR with 50% markup),Manufacturer,Category,Category (English),Image Filenames
7679,[중고] PARKER VERIFLO IR4003S2K3PX4B 45800606-4,[Used] PARKER VERIFLO IR4003S2K3PX4B 45800606-4,IR4003S2K3PX4B,110000,100.48,PARKER,Gas valve/regulator/pressure gauge,,7679_1.jpg; 7679_1.jpg; 7679_3.jpg; 7679_1.jpg; 7679_1.jpg; 7679_6.jpg; 7679_7.jpg; 7679_8.jpg; 7679_9.jpg; 7679_10.jpg; 7679_11.jpg; 7679_12.jpg; 7679_13.jpg; 7679_14.jpg; 7679_15.jpg; 7679_16.jpg; 7679_17.jpg; 7679_18.jpg; 7679_19.jpg; 7679_20.jpg; 7679_1.jpg; 7679_3.jpg; 7679_23.jpg
5148,"[중고] XYZ-Axis Stage (60 x 60) X,Y,X Stroke 10mm MELLES GRIOT",[Used] XYZ-Axis Stage (60 x 60),10mm,165000,150.73,,Precision stage,,5148_1.jpg; 5148_1.jpg; 5148_3.jpg; 5148_1.jpg; 5148_1.jpg; 5148_6.jpg; 5148_7.jpg; 5148_8.jpg; 5148_9.jpg; 5148_10.jpg; 5148_11.jpg; 5148_1.jpg; 5148_3.jpg; 7298_11.jpg
6990,"[중고] SPG SPIH042S-010K (10:1), 서보모터용 감속기, 50,100W","[Used] SPG SPIH042S-010K (10:1), reducer for servo motor, 50,100W",SPIH042S-010K,88000,80.39,,Reducer/Index/Coupling,,6990_1.jpg; 6990_1.jpg; 6990_3.jpg; 6990_1.jpg; 6990_5.jpg; 6990_1.jpg; 6990_7.jpg; 6990_8.jpg; 6990_9.jpg; 6990_10.jpg; 6990_11.jpg; 6990_12.jpg; 6990_1.jpg; 6990_3.jpg; 6990_15.jpg
5609,[중고] SICK CLV622-1000 CDB620-001,[Used] SICK CLV622-1000 CDB620-001,CLV622-1000,220000,200.97,,Sensors / various cables,,5609_1.jpg; 5609_1.jpg; 5609_3.jpg; 5609_1.jpg; 5609_5.jpg; 5609_6.jpg; 5609_1.jpg; 5609_8.jpg; 5609_9.jpg; 5609_10.jpg; 5609_11.jpg; 5609_12.jpg; 5609_13.jpg; 5609_14.jpg; 5609_15.jpg; 5609_16.jpg; 5609_17.jpg; 5609_18.jpg; 5609_19.jpg; 5609_20.jpg; 5609_21.jpg; 5609_22.jpg; 5609_3.jpg; 5609_24.jpg
7298,[중고] Infinity Scientific A-ZOOM Wafer Probe 검사기 Stage Micro Scope Optcal 광학 프로브,[Used] Infinity Scientific A-ZOOM Wafer Probe Inspection Stage Micro Scope Optcal Optical Probe,,1210000,1105.34,,semiconductor equipment,,7298_1.jpg; 7298_1.jpg; 7298_3.jpg; 7298_1.jpg; 7298_5.jpg; 7298_6.jpg; 7298_7.jpg; 7298_1.jpg; 7298_3.jpg; 7298_10.jpg; 7298_11.jpg
7649,[중고] APEX AB/F 042-S2-P2 (10:1) 서보모터 감속기,[Used] APEX AB/F 042-S2-P2 (10:1) servo motor reducer,042-S2-P2,99000,90.44,,Reducer/Index/Coupling,,7649_1.jpg; 7649_1.jpg; 7649_3.jpg; 7649_1.jpg; 7649_1.jpg; 7649_6.jpg; 7649_7.jpg; 7649_8.jpg; 7649_9.jpg; 7649_10.jpg; 7649_11.jpg; 7649_12.jpg; 7649_13.jpg; 7649_14.jpg; 7649_15.jpg; 7649_16.jpg; 7649_17.jpg; 7649_18.jpg; 7649_19.jpg; 7649_1.jpg; 7649_3.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7942,[중고] SMC XLD-40/ XLD-40-M9NA/ XLD-40HO/ XLD-40-X1043/ XLD-40L/ XLD-40-X586/ XLD-40K/ XLD-40-M9BA/ XLD-40-M9PA  Angle valve 앵글밸브,[Used] SMC XLD-40/ XLD-40-M9NA/ XLD-40HO/ XLD-40-X1043/ XLD-40L/ angle valve,XLD-40/,110000,100.48,,vacuum valve,,7942_1.jpg; 7942_1.jpg; 7942_3.jpg; 7942_1.jpg; 7942_1.jpg; 7942_6.jpg; 7942_7.jpg; 7942_8.jpg; 7942_9.jpg; 7942_10.jpg; 7942_11.jpg; 7942_12.jpg; 7942_13.jpg; 7942_14.jpg; 7942_15.jpg; 7942_16.jpg; 7942_17.jpg; 7942_18.jpg; 7942_19.jpg; 7942_20.jpg; 7942_21.jpg; 7942_1.jpg; 7942_3.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7664,[중고] MKP VIC-D240 N2 200SLPM,[Used] MKP VIC-D240 N2 200SLPM,VIC-D240,220000,200.97,,MFC/MFM,,7664_1.jpg; 7664_1.jpg; 7664_3.jpg; 7664_1.jpg; 7664_1.jpg; 7664_6.jpg; 7664_7.jpg; 7664_8.jpg; 7664_9.jpg; 7664_10.jpg; 7664_11.jpg; 7664_12.jpg; 7664_13.jpg; 7664_14.jpg; 7664_15.jpg; 7664_16.jpg; 7664_17.jpg; 7664_18.jpg; 7664_19.jpg; 7664_20.jpg; 7664_21.jpg; 7664_22.jpg; 7664_13.jpg; 7664_24.jpg; 7664_1.jpg; 7664_3.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7561,[중고] MKS Loadlock Transducer 901P-11030,[Used] MKS Loadlock Transducer 901P-11030,901P-11030,165000,150.73,MKS,vacuum gauge,,7561_1.jpg; 7561_1.jpg; 7561_3.jpg; 7561_1.jpg; 7561_1.jpg; 7561_6.jpg; 7561_7.jpg; 7561_8.jpg; 7561_9.jpg; 7561_10.jpg; 7561_11.jpg; 7561_12.jpg; 7561_13.jpg; 7561_14.jpg; 7561_15.jpg; 7561_16.jpg; 7561_17.jpg; 7561_18.jpg; 7561_19.jpg; 7561_20.jpg; 7561_1.jpg; 7561_3.jpg; 7561_23.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7151,[중고] 블로워 1.5KW (2마력) SBT-600HT-H213 SHOWA DENKI 링블로워 브로워 Blower 600*700*880,[Used] Blower 1.5KW (2 horsepower) SBT-600HT-H213 SHOWA DENKI Ring Blower Blower 600*700*880,1.5KW,330000,301.45,,Blower,,7151_1.jpg; 7151_1.jpg; 7151_3.jpg; 7151_1.jpg; 7151_1.jpg; 7151_6.jpg; 7151_7.jpg; 7151_8.jpg; 7151_9.jpg; 7151_10.jpg; 7151_11.jpg; 7151_12.jpg; 7151_1.jpg; 7151_3.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7850,[중고] FESTO 솔레노이드밸브 MHA1-PR12-3-D1-SV SA33301KR 솔밸브,[Used] FESTO solenoid valve MHA1-PR12-3-D1-SV SA33301KR Solenoid valve,MHA1-PR12-3-D1-SV,66000,60.29,,Pneumatic parts (PNEUMATIC),,7850_1.jpg; 7850_2.jpg; 7850_1.jpg; 7850_4.jpg; 7850_5.jpg; 7850_6.jpg; 7850_7.jpg; 7850_8.jpg; 7850_9.jpg; 7850_10.jpg
7714,[중고] RORZE RV201-F05-009-1 LOAD PORT  FOUP OPENER 300mm wafer 12inch,[Used] RORZE RV201-F05-009-1 LOAD PORT FOUP OPENER 300mm wafer 12inch,RV201-F05-009-1,2200000,2009.7,RORZE,LOAD PORT,,7714_1.jpg; 7714_1.jpg; 7714_3.jpg; 7714_1.jpg; 7714_1.jpg; 7714_6.jpg; 7714_7.jpg; 7714_8.jpg; 7714_9.jpg; 7714_10.jpg; 7714_11.jpg; 7714_12.jpg; 7714_13.jpg
7842,[중고] VAT 03112-LA24-BLC1 322143/0011 Slit valve,[Used] VAT 03112-LA24-BLC1 322143/0011 Slit valve,03112-LA24-BLC1,550000,502.42,VAT,vacuum valve,,7842_1.jpg; 7842_1.jpg; 7842_3.jpg; 7842_1.jpg; 7842_1.jpg; 7842_6.jpg; 7842_7.jpg; 7842_8.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7803,[중고] VAT 29034-KA21-AER1 valve 앵글밸브,[Used] VAT 29034-KA21-AER1 valve angle valve,29034-KA21-AER1,110000,100.48,VAT,vacuum valve,,7803_1.jpg; 7803_1.jpg; 7803_3.jpg; 7803_1.jpg; 7803_1.jpg; 7803_6.jpg; 7803_7.jpg; 7803_8.jpg; 7803_9.jpg; 7803_10.jpg; 7803_11.jpg; 7803_1.jpg; 7803_3.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7812,[중고] AERA PI-98 FCPI980CBFXDIAA FCPI981CBFXDIAA Ar He N2 NF3 O2 MFC,[Used] AERA PI-98 FCPI980CBFXDIAA FCPI981CBFXDIAA Ar He N2 NF3 O2 MFC,PI-98,110000,100.48,,MFC/MFM,,7812_1.jpg; 7812_1.jpg; 7812_3.jpg; 7812_4.jpg; 7812_5.jpg; 7812_1.jpg; 7812_7.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg; 7298_11.jpg
7834,[중고] HSR25 형 (길이335mm/블럭2개) LM가이드 엘엠가이드 LM GUIDE THK IKO NSK 자동화부품 정밀부품 조각기 3D프린터 제작부품 삼익THK 베어링,[Used] HSR25 type (length 335mm/2 blocks) LM Guide LM Guide LM GUIDE THK IKO NSK Automation Parts Precision Parts Engraver 3D Printer Manufacturing Parts Samik THK Bearing,HSR25,49500,45.22,THK,LM GUIDE / BUSHING,,7834_1.jpg; 7834_1.jpg; 7834_3.jpg; 7834_4.jpg; 7834_5.jpg; 7834_6.jpg; 7834_7.jpg; 7834_8.jpg; 7834_9.jpg; 7834_10.jpg; 7834_11.jpg; 7834_12.jpg; 7834_13.jpg; 7834_14.jpg; 7834_15.jpg; 7834_16.jpg; 7834_17.jpg; 7834_18.jpg; 7834_1.jpg; 7834_3.jpg; 7834_21.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg
7853,[중고] CKD N3S010P *5 N4S010P*1,[Used] CKD N3S010P *5 N4S010P*1,N3S010P,55000,50.24,,Pneumatic parts (PNEUMATIC),,7853_1.jpg; 7853_1.jpg; 7853_3.jpg; 7853_1.jpg; 7853_5.jpg; 7853_6.jpg; 7853_1.jpg; 7853_8.jpg; 7853_9.jpg; 7853_10.jpg; 7853_11.jpg; 7853_12.jpg; 7853_13.jpg; 7853_14.jpg; 7853_15.jpg; 7853_16.jpg; 7853_17.jpg; 7853_18.jpg; 7853_19.jpg; 7853_20.jpg; 7853_21.jpg; 7853_22.jpg; 7853_23.jpg; 7853_24.jpg; 7853_25.jpg; 7853_26.jpg; 7853_27.jpg; 7853_28.jpg; 7853_29.jpg; 7853_30.jpg; 7853_31.jpg; 7853_32.jpg; 7853_33.jpg; 7853_34.jpg; 7853_35.jpg; 7853_36.jpg; 7853_37.jpg; 7853_38.jpg; 7853_39.jpg; 7853_40.jpg; 7853_41.jpg; 7853_42.jpg; 7853_43.jpg; 7853_44.jpg; 7850_9.jpg; 7853_1.jpg; 7853_3.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg; 7298_10.jpg
7440,[중고] XU-RVM4120 (VACUUM ROBOT),[Used] XU-RVM4120 (VACUUM ROBOT),XU-RVM4120,4400000,4019.4,,semiconductor equipment,,7440_1.jpg; 7440_1.jpg; 7440_3.jpg; 7440_1.jpg; 7440_5.jpg; 7440_6.jpg; 7440_7.jpg; 7440_8.jpg; 7440_9.jpg; 7440_10.jpg; 7440_11.jpg; 7440_12.jpg; 7440_13.jpg; 7440_14.jpg; 7440_15.jpg; 7440_16.jpg; 7440_17.jpg; 7440_18.jpg; 7440_19.jpg; 7440_20.jpg; 7440_21.jpg; 7440_22.jpg; 7440_23.jpg; 7440_24.jpg; 7440_25.jpg; 7440_26.jpg; 7440_1.jpg; 7440_3.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg; 7649_22.jpg
8029,[중고] 삼성FARA 5축 ATM Robot WTR-AD3000/HOO SRCP제어기 SRC+ ATM로봇 주행축 Dual Arm로봇 반도체 웨이퍼 핸들링 Wafer Handling 로보트 300mm 200mm,[Used] Samsung FARA 5-Axis ATM Robot WTR-AD3000/HOO SRCP Controller SRC+ ATM Robot Travel Axis Dual Arm Robot Semiconductor Wafer Handling Wafer Handling Robot 300mm 200mm,WTR-AD3000/HOO,4400000,4019.4,,"Wafer transfer robot, aligner",,8029_1.jpg; 8029_1.jpg; 8029_3.jpg; 8029_1.jpg; 8029_1.jpg; 8029_6.jpg; 8029_7.jpg; 8029_8.jpg; 8029_9.jpg; 8029_10.jpg; 8029_11.jpg; 7440_22.jpg; 8029_13.jpg; 8029_14.jpg; 8029_15.jpg; 8029_16.jpg; 8029_17.jpg; 8029_18.jpg; 8029_19.jpg; 8029_20.jpg; 8029_21.jpg; 7440_29.jpg; 8029_23.jpg; 8029_24.jpg; 8029_25.jpg; 8029_1.jpg; 8029_3.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg; 7942_24.jpg
7483,[중고] MURR D-71570,[Used] MURR D-71570,D-71570,33000,30.15,,Electrical parts and other,,7483_1.jpg; 7483_1.jpg; 7483_3.jpg; 7483_1.jpg; 7483_1.jpg; 7483_6.jpg; 7483_7.jpg; 7483_8.jpg; 7483_9.jpg; 7483_10.jpg; 7483_11.jpg; 7483_12.jpg; 7483_13.jpg; 7483_14.jpg; 7483_15.jpg; 7483_16.jpg; 7483_17.jpg; 7483_18.jpg; 7483_19.jpg; 7483_20.jpg; 7483_21.jpg; 7483_1.jpg; 7483_3.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg; 7151_16.jpg
7215,"[중고] 1축 엑츄에이터 리드50mm 스트로크 1,050mm 자작/DIY CNC부품, 3D프린터 제작","[Used] 1-axis actuator lead 50mm stroke 1,050mm do-it-yourself/DIY CNC parts, 3D printer production",리드50mm,220000,200.97,,Cartesian robot/actuator,,7215_1.jpg; 7215_1.jpg; 7215_3.jpg; 7215_1.jpg; 7215_1.jpg; 7215_6.jpg; 7215_7.jpg; 7215_8.jpg; 7215_9.jpg; 7215_10.jpg; 7215_11.jpg; 7215_12.jpg; 7215_13.jpg; 7215_14.jpg; 7215_15.jpg; 7215_16.jpg; 7215_17.jpg; 7215_18.jpg; 7215_19.jpg; 7215_20.jpg; 7215_21.jpg; 7215_22.jpg; 7215_23.jpg; 7215_24.jpg; 7215_25.jpg; 7215_26.jpg; 7215_27.jpg; 7215_3.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg; 7151_15.jpg
7634,[중고] Weintek MT6071iE,[Used] Weintek MT6071iE,MT6071iE,165000,150.73,,touch screen,,7634_1.jpg; 7634_1.jpg; 7634_3.jpg; 7634_1.jpg; 7634_1.jpg; 7634_6.jpg; 7634_7.jpg; 7634_8.jpg; 7634_9.jpg; 7634_10.jpg; 7634_11.jpg; 7634_12.jpg; 7634_13.jpg; 7634_14.jpg; 7634_15.jpg; 7634_16.jpg; 7634_17.jpg; 7634_18.jpg; 7634_19.jpg; 7634_1.jpg; 7634_3.jpg; 7634_22.jpg; 7634_23.jpg; 7483_24.jpg; 8029_28.jpg; 7440_29.jpg; 7440_30.jpg; 7812_8.jpg; 7803_14.jpg; 7803_15.jpg; 7803_16.jpg
